List,Card,Labels,Description
Game Design (Backlog),Описать классы персонажей и стартовый набор бит (минимум 3 класса),GD,
Game Design (Backlog),Спроектировать грани бит (удар/защита/действие) и их баланс,GD,
Game Design (Backlog),Описать умения активируемые через грань "действие",GD,
Game Design (Backlog),Формула сравнения комбинаций граней -> урон/эффект,GD,
Game Design (Backlog),Список стартового снаряжения и его модификаторов,GD,
Game Design (Backlog),Экономика: цены снаряжения награды XP/монеты за победу,GD,
Game Design (Backlog),Система уровней и энергии (лимит боёв в сутки),GD,
Game Design (Backlog),2-3 сценария периодических ивентов (нападение монстров),GD,
Game Design (Backlog),Формат турнира: брекет расписание награды,GD,
Game Design (Backlog),Типы и награды недельных заданий,GD,
Sprint 0 - Инфраструктура,Symfony skeleton + Docker (php-fpm nginx postgres),Infra,
Sprint 0 - Инфраструктура,React (Vite) проект под Discord Activity,Infra,
Sprint 0 - Инфраструктура,Discord bot проект (discord.js) + структура,Infra,
Sprint 0 - Инфраструктура,Регистрация приложения в Discord Developer Portal включить Activities,Infra,
Sprint 0 - Инфраструктура,HTTPS-туннель для разработки (Developer Tunnel/ngrok),Infra,
Sprint 0 - Инфраструктура,CI: lint + tests для backend и activity,Infra,
Sprint 0 - Инфраструктура,Doctrine ORM + миграции,Backend,
Sprint 0 - Инфраструктура,".env / секреты (Discord Client ID/Secret, DB)",Infra,
Sprint 1 - Аккаунты и персонажи,Сущность User (discord_id OAuth-профиль),Backend,
Sprint 1 - Аккаунты и персонажи,Discord OAuth2 авторизация (code -> token -> profile),Backend,
Sprint 1 - Аккаунты и персонажи,"Сущность Character (class, hp, energy, level, xp, coins)",Backend,
Sprint 1 - Аккаунты и персонажи,Сущность CharacterClass со стартовым набором бит,Backend,
Sprint 1 - Аккаунты и персонажи,API: создание персонажа (выбор класса),Backend,
Sprint 1 - Аккаунты и персонажи,API: получение профиля персонажа,Backend,
Sprint 1 - Аккаунты и персонажи,Экран выбора класса персонажа,Activity,
Sprint 1 - Аккаунты и персонажи,Экран профиля персонажа (HP/энергия/уровень),Activity,
